Prioridade;Prazo;Eixo Temático;Processo;Atividade;Tarefa;Responsável;Status
Média;em aberto;1. Financiamento;Prospectar demandas de investimento da cadeia produtiva;Tratamento dos dados do questionário sobre a demanda por Capital de Giro;Análise dos dados;CEAG UnB;Em andamento
;;;;;Repassar ao BNDES as informações compiladas;;
;;1. Financiamento;;Mapear parceiros para financiamento;Mapear alternativos de parceiros de financiamento (bancos);SNH;Não iniciado
;;;;Mobilizar parceiros para linhas de financiamento fabril;Estruturas linhas de financiamento de Capital de Giro para a construção (bancos e agências de fomento);SNH;
Alta;em aberto;2. Apoio às construtoras PMEs;Mapear construtoras PMEs interessadas em industrialização por UF;SNH fará articulação com CBIC para a próxima reunião do GT;;SNH + CBIC;
;;;Firmar parceria com SENAI para programa de capacitação;Agenda de elaboração da parceria;;SNH + SENAI + MDIC + financiador;Em andamento
;;;;Organizar encontros entre fabricantes e contrutores (piloto 5 UFs);;SNH + ABCIC;Não iniciado
;;;;Expandir encontros para todas as UFs;;SNH + CBIC;Não iniciado
Baixa;Em aberto;3. Kits Industrializados e Off Site Parks ;Levantar documentação e experiências sobre off site parks;Documentar modelo off site park no Ceará para replicação;SNH irá cobrar documentação do off site park no Ceará da CBICe  ITIE;SNH + CBIC + ITIE ;Em andamento
;;;;Identificar UFs prioritárias para novos off site parks;;;Não iniciado
;;;Articular estratégia de inovação com ABCIC a partir da Rede de Inovação;Levantamento das necessidades dos associados ;;ABCIC;Em andamento
;;;;Levantar necessidades das incorporadoras para elevar o grau de inovação no setor e das estratégias possíveis para suprir necessidades;Elaborar proposta, a partir das incorporadoras, para aprimorar o processo de inovação associado ao DATec;ABRAINC;Em andamento
;;;;Organizar e divulgar os mecanismos, processos e fontes de financiamento para a inovação disponibilizados pelo Governo Federal e acessíveis às empresas da cadeia produtiva da habitação PMEs;;SNH ;Não iniciado
Média;em aberto;4. Equidade Regional (Programa Norte);Identificar as fontes de financiamento para a industrialização da Região Norte, incluindo a aquisição financiada de formas de alumínio e a formação de cadeias produtivas;;;SNH ;Não iniciado
;;;Apoiar o desenvolvimento de novos métodos de construção que viabilizem a industrialização da construção na Região Norte ;;;CBIC + FINNIC + Sinduscon;Não iniciado
;;;Aperfeiçoamento do SINAPI de modo a refletir adequadamente os custos de construção na Região Norte ;;;Caixa;Em andamento
;;5. Suporte à Inovação ;Verificar novo credenciamentos na EMBRAPII;SNH articulará reunião com EMBRAPII para verificar;;SNH + EMBRAPII + laboratórios ;Em andamento
;;;Especializar laboratórias credenciados como instituições técnicas avaliadoras (PBQPH);;;SNH + SENAI + universidades;
;;;Oferta de pós-graduação na temática de inovação;;;SNH + UnB;
Alta;3 meses;6. Padronização do Código de Obras ;Aprovação da Minuta de Padronização do Código de Obras;Apresentar proposta de referencial normativo à alta gestão do MCid;;SNH;Em andamento
;;;;Elaborar minuta de referencial normativo;;SNH;
;;;;Dialogar com a CAIXA para verificar incentivos aos Municípios para aderirem ao normativo referencial;;SNH + CCFGTS;Não iniciado
;;;;Submeter minuta(s) do referencial normativo(s) à CONJUR;;SNH;Não iniciado
;;;;Apresentar minuta do referencial normativo ao GT;;SNH;Não iniciado
;;;;Publicar referencial normativo;;SNH + GT;Não iniciado
;;;Mobilização para Implementação;Articular adesão de municípios prioritários;;;Não iniciado
Média;;7. Digitalização (BIM e Processos);Disseminar estratégia BIM como medotologia obrigatória para projetos de construção do MCMV;;;;Stand by
Alta;2 meses;8. Descarbonização da Construção;Operacionalizar ACT Rede de Inovação para Habitação Sustentável;Processo de assinatura dos integrantes;;SNH ;Em andamento
;;;;Realizar reunião do GT Sustentabilidade do PBQP-H;;ABCLS;Não iniciado
;;;Implementar jornadas setoriais de baixo carbono via PSQs;;;ABCLS;
;;;Estruturar rede de laboratórios para inovação sustentável;Plano de trabalho da Rede;;;Em andamento
Média;;9. Financiamento pró-soluto;Identificar as fontes de financiamento para a industrialização da Região Norte, incluindo a aquisição financiada de formas de alumínio e a formação de cadeias produtivas;;;SNH;
;;;Apoiar o desenvolvimento de novos métodos de construção que viabilizem a industrialização da construção na Região Norte ;;;CBIC + FINNIC + Sinduscon;
;;;Aperfeiçoamento do SINAPI de modo a refletir adequadamente os custos de construção na Região Norte ;;;CAIXA;Em andamento
;;;;;;;
Alta;;10. Adequação do Risco de Crédito;;;;;Não iniciada
